Words,Definition,,Country
Tink,"thinks, think, Stink  ",,Jamaican Creole
Titi,Tities  ,,Jamaican Creole
Tiya,Tire  ,,Jamaican Creole
To how,The way  ,,Jamaican Creole
Todeh,Today  ,,Jamaican Creole
Togedda,Together  ,,Jamaican Creole
tong,tongue  ,,Jamaican Creole
tonite,tonight  ,,Jamaican Creole
too faas,too nosy,,Jamaican Creole
Too much sidung bruk breeches,Sitting down too much wears out one’s trousers  ,,Jamaican Creole
Tool,Gun  ,,Jamaican Creole
Topanoris,Rich Snob  ,,Jamaican Creole
Touch di road,Going out  ,,Jamaican Creole
Touch dung,Arrive  ,,Jamaican Creole
Tpc,What the f*ck!  ,,Jamaican Creole
waah,"wanted, wants, want  ",,Jamaican Creole
waah fi,wanna  ,,Jamaican Creole
Waak,Walk  ,,Jamaican Creole
waam,"warm, warm  ",,Jamaican Creole
Waan,"Want, Want  ",,Jamaican Creole
Wacha,Look here  ,,Jamaican Creole
Wadada,Love  ,,Jamaican Creole
waga waga,A fat or obsessed person.  ,,Jamaican Creole
Waggonist,bandwagon  ,,Jamaican Creole
Wah,What  ,,Jamaican Creole
Wah bout yuh Wah deh gwaan,"How about you, How are you doing?  ",,Jamaican Creole
Wah day,"the other day, The other day  ",,Jamaican Creole
Wah deh,what's  ,,Jamaican Creole
Wah deh gwaan,"What's happening?, What's going on?  ",,Jamaican Creole
Wah deh gwaan wid yuh,What's going on with you?  ,,Jamaican Creole
wah dem a guh duh,"what will they do, what will they do  ",,Jamaican Creole
Wah di rass,What the f**k  ,,Jamaican Creole
Wah do dem,"what's wrong with them, What’s wrong with them  ",,Jamaican Creole
Wah drap offa head drap pan s,"What drops off of the head, drops on the shoulder  ",,Jamaican Creole
Wah Gwaan,"What's going on, What's up, What's going on, What’s going on  ",,Jamaican Creole
Wah gwaan bad a mawnin cyaan,What went wrong in the morning cannot be remedied in the evening.  ,,Jamaican Creole
Wah kine a muzik yuh like,What music do you like?  ,,Jamaican Creole
Wah mek,Why  ,,Jamaican Creole
Wah sweet nanny goat ago run h,What tastes good to a goat will later upset his stomach  ,,Jamaican Creole
Wah yah seh,What are you saying  ,,Jamaican Creole
wah you deh pon everything bal,what are you up to? Is everything OK?  ,,Jamaican Creole
Wah yuh a duh,"What are you doing?, What are  you doing?  ",,Jamaican Creole
Wah yuh a gwaan wid,What have you been up to?  ,,Jamaican Creole
Wah yuh ah duh,What are you doing  ,,Jamaican Creole
wah yuh deh pon,what have you been up to  ,,Jamaican Creole
Wah yuh like fi duh,What do like to do?  ,,Jamaican Creole
Wah yuh name,What's your name?  ,,Jamaican Creole
Wahm,What happened  ,,Jamaican Creole
Wahm,what happen  ,,Jamaican Creole
Walk Good,Take care  ,,Jamaican Creole
walk pass,By passers  ,,Jamaican Creole
Wan yai man ah king inna blind,Be where you will be appreciated and respected.  ,,Jamaican Creole
Wanga gut,Gluttonous / Greedy  ,,Jamaican Creole
Wash belly,Youngest child  ,,Jamaican Creole
Wash out,Detox  ,,Jamaican Creole
Wasteman,Worthless person  ,,Jamaican Creole
Wat a guh dung,"What's happening, What's happening?  ",,Jamaican Creole
Wat a gwaan,what is going on  ,,Jamaican Creole
Wata,"water, Water, Water  ",,Jamaican Creole
Wata more than flour,There is more water than flour  ,,Jamaican Creole
Wbu,What about you  ,,Jamaican Creole
Wednesdeh,Wednesday  ,,Jamaican Creole
Weed head,Pot head / Stoner  ,,Jamaican Creole
weed jam,weed group  ,,Jamaican Creole
Week dem,weeks  ,,Jamaican Creole
Weh,"where's, Where  ",,Jamaican Creole
Weh dat fah,What’s that for?  ,,Jamaican Creole
Weh dem deh,where are they?  ,,Jamaican Creole
Weh di gate deh,Where is the gate?  ,,Jamaican Creole
Weh di restaurant deh,Where is the restaurant?  ,,Jamaican Creole
Weh mi fi cum aff,Where should I get off?  ,,Jamaican Creole
weh we a go do,What are we going to do?  ,,Jamaican Creole
Weh yah guh,Where are you going?  ,,Jamaican Creole
Weh you ah duh,what are you doing?  ,,Jamaican Creole
Weh yuh ah deal wid,What are you up to?  ,,Jamaican Creole
Weh yuh ah seh,How are you doing?  ,,Jamaican Creole
Weh yuh cum fram,Where are you from?  ,,Jamaican Creole
Weh yuh deh,"Where are you?, where are you  ",,Jamaican Creole
Weh yuh deh pon,What are you up to?  ,,Jamaican Creole
Weh yuh seh,What did you say?,,Jamaican Creole
